"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Selenomonas" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Selenomonadaceae" "Selenomonas" "NA"
"Serratia" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Yersiniaceae" "Serratia" "NA"
"Simplicispira" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Simplicispira" "NA"
"Skermanella" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" "Skermanella" "NA"
"Slackia" "Bacteria" "Actinobacteria" "Coriobacteriia" "Eggerthellales" "Eggerthellaceae" "Slackia" "NA"
"Sneathia" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Leptotrichiaceae" "Sneathia" "NA"
"Sphingomonas" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "NA"
"SR1_genera_incertae_sedis" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Staphylococcus" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "NA"
"Stenotrophomonas" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Stenotrophomonas" "NA"
"Streptococcus" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" "NA"
"Subdoligranulum" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Subdoligranulum" "NA"
"Succinispira" "Bacteria" "Firmicutes" "Negativicutes" "Acidaminococcales" "Acidaminococcaceae" "Succinispira" "NA"
"Sutterella" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Sutterellaceae" "Sutterella" "NA"
"TM7_genera_incertae_sedis" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Turicella" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Turicella" "NA"
"Ureaplasma" "Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Ureaplasma" "NA"
"Varibaculum" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Varibaculum" "NA"
"Veillonella" "Bacteria" "Firmicutes" "Negativicutes" "Veillonellales" "Veillonellaceae" "Veillonella" "NA"
"Veillonellaceae_1" "Bacteria" "Firmicutes" "Negativicutes" "Veillonellales" "Veillonellaceae" "NA" "NA"
"Zimmermannella" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" "Pseudoclavibacter" "NA"
