"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Chryseobacterium" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Chryseobacterium" "NA"
"Citrobacter" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Citrobacter" "NA"
"Clostridia_2" "Bacteria" "Firmicutes" "Clostridia" "NA" "NA" "NA" "NA"
"Clostridiales_17" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_1" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_15" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_6" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_11" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_4" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_16" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_8" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_2" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_5" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_9" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_7" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_10" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridiales_18" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "NA" "NA" "NA"
"Clostridium" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae" "Clostridium" "NA"
"Collinsella" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Coriobacteriaceae" "Collinsella" "NA"
"Conchiformibius" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Conchiformibius" "NA"
"Coprobacillus" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Coprobacillus" "NA"
"Coprococcus" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Coprococcus" "NA"
"Coriobacteriaceae_2" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Coriobacteriaceae" "NA" "NA"
"Coriobacteriaceae_1" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Coriobacteriaceae" "NA" "NA"
"Coriobacteriaceae_3" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Coriobacteriaceae" "NA" "NA"
